Id,Price
4567,158952.01282060443
5925,123803.80887234355
960,153863.83541475085
3848,167831.81767026908
746,233217.94972499798
868,351322.6314557655
672,126201.01105649931
2471,192032.7838713613
4510,129198.92023437298
8354,243901.58579367408
6393,175242.0219961857
13270,233606.36757959254
5250,327953.13343855797
16751,193790.54198029157
11404,124038.58600861987
10588,290581.7039752751
14925,220795.9336765546
6791,221708.57664348133
16097,185296.0439186881
16428,376240.6260640403
6945,321667.60957611597
3190,189712.09335645233
15709,409461.76453598746
13155,175496.8213780312
7675,198563.62630724933
14686,235645.38585271206
609,169792.4879366592
11155,180178.5167952639
10869,226595.89581436748
15742,181630.26836873786
9245,197265.3658065629
3340,193415.8485255167
2359,262242.73209986853
8070,194990.63352987572
13707,131761.81625936597
16079,264530.25901122874
15937,286121.2850033964
14090,181414.52854676146
9008,207335.46432315896
16384,179002.99881042
11657,260840.54887041313
13151,241518.9594584533
8990,189880.6190637667
11857,190241.1519189575
1565,171078.05309623756
8174,126328.0482187516
9247,248496.94197972558
10478,211261.4776020629
15509,150564.48196857556
8306,256134.84478917913
6642,182941.62160269578
7472,201375.71805533976
15989,131375.74062199722
13682,124338.55627725221
163,297570.96704146406
7076,182902.82749744545
7478,334249.7398377841
3029,180196.86740606176
1814,144294.30300054917
10057,124968.97348782718
15100,227865.66113417983
12694,215155.18359254315
6291,175622.14635521613
12603,200133.66502582864
3218,230415.29503824908
13456,130619.63087707014
10170,214766.44808260343
4530,199631.31991147227
13329,190322.68785737493
4820,164300.24256588685
10896,176590.6261649963
13416,121347.58624866676
2701,248753.20597660006
11265,327981.5462899415
9189,261505.18164542672
1858,172757.9563673915
14536,239327.99958435283
6199,313536.6212246855
14730,165854.3751083526
7510,248644.94415370253
15505,175094.81752613466
7446,178387.72812546548
14016,202877.3552062072
14113,117451.02398377344
8721,287263.2949315969
6193,321868.04868850677
5717,190499.2853062676
5427,296000.4784778474
9520,433070.34163422615
6869,112371.14780986184
1658,163059.4317763985
6639,208956.16443440475
6283,189083.19393413514
6257,123994.31860227142
15235,180776.84906066206
902,219030.54100913342
8932,203230.5068921076
16469,350743.3274408372
2825,256953.3409176746
6450,397372.7828678785
11366,179011.07591274378
3801,348741.0689830999
11385,191717.14646258633
1079,181310.9357004506
3202,251723.8047379952
676,238813.46779245694
6185,289339.5817496777
7730,175986.3543175915
2573,175538.83162960902
10978,202179.97558453816
10962,266933.79017042683
8870,188465.58862889523
8496,175327.24441284384
5517,163835.44636164882
927,178582.33413852428
13675,181271.99405432682
1499,218516.24253372458
15536,308055.19910620624
8602,354906.853244813
12137,418773.6850524388
9865,258572.60921214204
16353,258491.36622922125
15908,206024.3610099494
3944,199399.8328553402
10359,191932.53292424302
15158,195130.0320953765
3259,257235.1574294973
7220,326495.0278123267
13843,209327.48432762804
16736,186662.40665098067
702,241409.52464683977
16401,174308.64781093784
12134,216184.1873046902
6918,248621.21169729016
11792,136915.83585813484
3798,149306.62964029756
10395,132814.85954440047
11099,137797.15208375463
7090,204825.77908902057
11260,191031.75604556964
9647,214364.08605874804
2903,357566.99739314965
2071,198376.97001418733
8604,219672.12967748533
9346,207343.5488003129
3945,189038.8277664347
3420,137413.4267961802
10842,130613.83648173207
725,159005.78894040355
13931,192343.67900373138
16330,252356.8800374151
9066,390519.49491765624
3326,316159.0861825791
1556,263198.33172018704
6579,147495.99410702323
13877,149488.36910650448
9857,328583.775673677
7302,251920.01717301414
5684,180213.52434832175
6513,244620.00372408156
11342,115579.07755910733
16561,236192.1745423358
6885,197630.60473782383
9308,175351.77248586164
2559,200162.17773179067
6648,180114.43144311453
15260,174433.86222381893
5113,178129.93422661512
16492,184233.03400432057
12034,262154.62078227417
7248,200490.73659035633
2171,204398.59802071124
10594,161631.13769091305
13241,189830.2751447998
7032,158336.0340659953
4884,177034.9641682841
903,238023.56231568937
162,173345.33884481265
6566,267795.8060860709
8249,132624.27428661636
13106,230076.3817865642
256,131498.15986911443
7976,190513.15440729045
8575,170926.17674344016
7591,276092.818418236
3204,242959.1873216707
15804,190135.23965661536
1525,320071.5324243581
9038,202985.74420900087
13628,191697.85247210565
10016,192760.3148327551
10208,232970.12437200025
2008,194407.53177392707
13029,202588.73762277805
5099,131201.49430229818
9923,315856.5687849932
9461,145767.0025310478
11086,171000.56421293283
15057,283890.8122801046
10689,176777.4886654164
2053,242304.9422726384
16630,172028.6786728258
4985,188141.7792604647
13881,230116.86867837363
13225,185917.3603678896
5779,118498.75643883726
10262,175686.58954862185
10762,235641.22879381131
9513,183323.4536692608
